customer_id,kyc_type,province,city,industry_code,occupation_code,income_cents,sales_cents,account_age,birth_business_age
SYNID0100006895,individual,other,other,,UNEMPLOYED,1400900.0,,4.89,21.72
SYNID0100006941,individual,other,other,,OTHER,-1.0,,4.82,52.34
SYNID0100007436,individual,ON,BARRIE,,STUDENT,-1.0,,2.85,21.54
SYNID0100007570,individual,other,other,,OTHER,3387600.0,,4.91,36.23
SYNID0100007620,individual,ON,BRAMPTON,,UNEMPLOYED,1100.0,,19.52,
SYNID0100007638,individual,ON,THUNDER BAY,,UNEMPLOYED,-1.0,,2.93,29.54
SYNID0100008358,individual,ON,TORONTO,,STUDENT,1000.0,,7.62,18.16
SYNID0100008611,individual,ON,MARKHAM,,60010,3027900.0,,,27.86
SYNID0100008961,individual,QC,GATINEAU,,STUDENT,900.0,,2.21,21.96
SYNID0100009174,individual,NS,HALIFAX,,OTHER,-1.0,,3.51,55.06
SYNID0100009213,individual,other,other,,RETIRED,2026100.0,,,
SYNID0100009417,individual,other,other,,73300,-1.0,,,
SYNID0100009470,individual,BC,VANCOUVER,,STUDENT,1500.0,,8.0,15.69
SYNID0100009541,individual,other,other,,SELF_EMPLOYED,2361200.0,,11.44,
SYNID0100009578,individual,BC,SURREY,,41101,-1.0,,2.92,62.26
SYNID0100009762,individual,ON,MARKHAM,,RETIRED,6064900.0,,21.51,71.75
SYNID0100009956,individual,BC,VANCOUVER,,RETIRED,1600.0,,,86.93
SYNID0100010089,individual,ON,OSHAWA,,STUDENT,4283200.0,,6.64,26.18
SYNID0100010329,individual,ON,AURORA,,10019,2971400.0,,13.37,46.25
SYNID0100010571,individual,other,other,,10019,3920600.0,,19.13,52.73
SYNID0100010698,individual,ON,BRAMPTON,,RETIRED,8242000.0,,28.48,63.43
SYNID0100011209,individual,other,other,,SELF_EMPLOYED,2539800.0,,14.17,23.7
SYNID0100011315,individual,other,other,,STUDENT,-1.0,,4.39,19.24
SYNID0100011481,individual,AB,EDMONTON,,OTHER,2821500.0,,20.23,42.28
SYNID0100011849,individual,BC,SURREY,,OTHER,9514300.0,,15.38,35.45
SYNID0100012045,individual,AB,EDMONTON,,65100,1351900.0,,25.02,62.12
SYNID0100012111,individual,NB,FREDERICTON,,11100,-1.0,,1.45,35.71
SYNID0100012205,individual,BC,VANCOUVER,,95109,15430500.0,,,45.4
SYNID0100012410,individual,BC,VANCOUVER,,OTHER,1732200.0,,25.36,57.61
SYNID0100012464,individual,other,other,,SELF_EMPLOYED,3064700.0,,18.67,30.72
SYNID0100012512,individual,other,other,,RETIRED,2826000.0,,28.29,76.11
SYNID0100012539,individual,BC,VANCOUVER,,20012,6436100.0,,26.33,68.52
SYNID0100013163,individual,AB,CALGARY,,10019,-1.0,,3.26,27.2
SYNID0100013722,individual,other,other,,OTHER,4675000.0,,28.54,64.54
SYNID0100013886,individual,ON,BRAMPTON,,STUDENT,-1.0,,1.5,20.44
SYNID0100014085,individual,other,other,,62024,8115600.0,,21.69,53.07
SYNID0100014233,individual,MB,WINNIPEG,,OTHER,3982700.0,,20.94,49.98
SYNID0100014489,individual,ON,BRADFORD,,STUDENT,-1.0,,7.43,22.63
SYNID0100014795,individual,BC,DELTA,,OTHER,-1.0,,3.59,25.68
SYNID0100014851,individual,other,other,,65100,-1.0,,25.59,
SYNID0100015045,individual,ON,BRAMPTON,,6,2983000.0,,32.01,75.6
SYNID0100015109,individual,other,other,,65100,1154400.0,,28.73,53.76
SYNID0100015225,individual,ON,KINGSTON,,UNEMPLOYED,8802400.0,,19.88,45.72
SYNID0100015975,individual,ON,THOROLD,,SELF_EMPLOYED,-1.0,,7.03,48.65
SYNID0100016064,individual,ON,STONEY CREEK,,STUDENT,-1.0,,4.91,15.43
SYNID0100016314,individual,other,other,,RETIRED,-1.0,,11.01,89.38
SYNID0100016895,individual,other,other,,RETIRED,10010200.0,,25.07,64.62
SYNID0100017219,individual,ON,OSHAWA,,RETIRED,1400.0,,26.48,67.94
SYNID0100017804,individual,QC,GATINEAU,,UNEMPLOYED,-1.0,,1.12,32.41
SYNID0100018428,individual,other,other,,RETIRED,586600.0,,28.02,69.96
SYNID0100018441,individual,other,other,,RETIRED,1709000.0,,28.05,82.12
SYNID0100018558,individual,other,other,,65100,-1.0,,2.72,37.3
SYNID0100018651,individual,ON,WHITBY,,RETIRED,7512600.0,,6.71,70.18
SYNID0100018816,individual,ON,VAUGHAN,,10019,3113900.0,,7.23,44.74
SYNID0100018982,individual,ON,BARRIE,,OTHER,7945700.0,,30.68,54.02
SYNID0100019186,individual,ON,STONEY CREEK,,STUDENT,1100.0,,2.92,14.34
SYNID0100019260,individual,other,other,,UNEMPLOYED,3915500.0,,25.22,28.35
SYNID0100019419,individual,other,other,,UNEMPLOYED,5171800.0,,28.59,63.7
SYNID0100019645,individual,NS,DARTMOUTH,,RETIRED,4732000.0,,30.51,70.99
SYNID0100019726,individual,other,other,,RETIRED,-1.0,,,72.7
SYNID0100019883,individual,other,other,,33102,11007700.0,,23.38,59.71
SYNID0100020142,individual,other,other,,SELF_EMPLOYED,2802700.0,,28.03,64.92
SYNID0100020166,individual,other,other,,RETIRED,4024100.0,,11.3,68.09
SYNID0100020197,individual,ON,CORNWALL,,STUDENT,1274200.0,,6.0,21.2
SYNID0100020265,individual,ON,BRAMPTON,,RETIRED,-1.0,,4.36,70.32
SYNID0100020731,individual,other,other,,OTHER,-1.0,,28.4,58.08
SYNID0100020773,individual,QC,GATINEAU,,RETIRED,2565200.0,,27.31,82.66
SYNID0100021218,individual,ON,SCARBOROUGH,,RETIRED,1815800.0,,23.43,91.04
SYNID0100021236,individual,ON,MISSISSAUGA,,OTHER,4233600.0,,33.58,79.47
SYNID0100021299,individual,other,other,,60010,4471700.0,,28.26,61.63
SYNID0100021463,individual,QC,MONTREAL,,OTHER,4830100.0,,14.54,46.83
SYNID0100022238,individual,AB,MEDICINE HAT,,STUDENT,900.0,,15.29,21.41
SYNID0100022248,individual,AB,CALGARY,,10010,7958900.0,,12.91,60.67
SYNID0100022308,individual,MB,WINNIPEG,,STUDENT,-1.0,,3.62,20.18
SYNID0100022897,individual,other,other,,RETIRED,5600700.0,,28.06,67.31
SYNID0100023259,individual,MB,BRANDON,,OTHER,2558900.0,,,32.18
SYNID0100023475,individual,NS,HALIFAX,,UNEMPLOYED,-1.0,,9.65,66.69
SYNID0100023734,individual,ON,WATERLOO,,RETIRED,1400.0,,22.63,
SYNID0100023889,individual,ON,NIAGARA FALLS,,OTHER,3037900.0,,6.7,26.13
SYNID0100024328,individual,ON,WELLAND,,OTHER,-1.0,,32.68,62.57
SYNID0100024437,individual,BC,DELTA,,64409,1520500.0,,5.82,27.06
SYNID0100024598,individual,AB,EDMONTON,,UNEMPLOYED,-1.0,,22.92,67.59
SYNID0100024772,individual,other,other,,SELF_EMPLOYED,-1.0,,16.6,30.85
SYNID0100024936,individual,MB,WINNIPEG,,OTHER,-1.0,,13.54,38.71
SYNID0100025173,individual,AB,CALGARY,,RETIRED,171400.0,,28.71,95.68
SYNID0100025567,individual,ON,BRAMPTON,,73300,5458400.0,,,30.07
SYNID0100025619,individual,ON,TORONTO,,OTHER,2141000.0,,17.14,37.05
SYNID0100025622,individual,ON,BRAMPTON,,STUDENT,-1.0,,,14.25
SYNID0100025820,individual,other,other,,UNEMPLOYED,8196400.0,,31.03,60.3
SYNID0100026243,individual,ON,BRAMPTON,,33102,3393600.0,,3.71,23.58
SYNID0100026488,individual,ON,AJAX,,10019,900.0,,24.69,25.61
SYNID0100026603,individual,ON,SCARBOROUGH,,UNEMPLOYED,-1.0,,2.29,26.37
SYNID0100026730,individual,other,other,,SELF_EMPLOYED,9381900.0,,25.07,65.26
SYNID0100027385,individual,other,other,,65100,3790800.0,,,61.33
SYNID0100028117,individual,AB,CALGARY,,STUDENT,-1.0,,6.19,20.76
SYNID0100028203,individual,other,other,,OTHER,6321800.0,,11.68,28.18
SYNID0100028625,individual,other,other,,RETIRED,3808700.0,,12.44,67.81
SYNID0100028682,individual,ON,BURLINGTON,,10019,4225300.0,,13.48,50.86
SYNID0100028742,individual,other,other,,OTHER,-1.0,,11.66,43.25
SYNID0100028784,individual,other,other,,OTHER,4534800.0,,34.75,52.65
SYNID0100028955,individual,other,other,,OTHER,10354400.0,,19.25,55.55
SYNID0100029550,individual,ON,THORNHILL,,63210,-1.0,,2.69,22.84
SYNID0100029659,individual,ON,MISSISSAUGA,,SELF_EMPLOYED,7652800.0,,21.86,60.4
SYNID0100029977,individual,AB,EDMONTON,,12010,10563600.0,,15.36,45.16
SYNID0100030114,individual,other,other,,OTHER,-1.0,,6.5,61.89
SYNID0100030522,individual,other,other,,RETIRED,-1.0,,33.41,72.66
SYNID0100030710,individual,ON,BRAMPTON,,OTHER,-1.0,,14.73,31.81
SYNID0100030983,individual,other,other,,UNEMPLOYED,2414700.0,,,
SYNID0100030996,individual,ON,PETERBOROUGH,,UNEMPLOYED,-1.0,,2.55,25.65
SYNID0100031148,individual,ON,MILTON,,72106,13283000.0,,6.79,55.2
SYNID0100031276,individual,AB,EDMONTON,,SELF_EMPLOYED,3468000.0,,24.94,58.07
SYNID0100031448,individual,AB,CALGARY,,OTHER,4373800.0,,,40.34
SYNID0100031720,individual,ON,COLLINGWOOD,,RETIRED,5303000.0,,24.79,70.97
SYNID0100031724,individual,other,other,,STUDENT,1600.0,,5.98,27.07
SYNID0100031730,individual,other,other,,OTHER,3420200.0,,7.17,27.33
SYNID0100031829,individual,MB,WINNIPEG,,RETIRED,1263100.0,,36.25,70.92
SYNID0100032192,individual,AB,EDMONTON,,RETIRED,-1.0,,30.26,66.61
SYNID0100032279,individual,AB,SPRUCE GROVE,,10019,2414300.0,,,47.24
SYNID0100032627,individual,other,other,,RETIRED,2483900.0,,32.4,67.12
SYNID0100033027,individual,BC,BURNABY,,SELF_EMPLOYED,-1.0,,,75.43
SYNID0100033322,individual,other,other,,RETIRED,2067700.0,,25.85,69.92
SYNID0100033763,individual,ON,HAMILTON,,STUDENT,-1.0,,8.98,
SYNID0100033846,individual,other,other,,UNEMPLOYED,-1.0,,24.51,49.74
SYNID0100033968,individual,other,other,,RETIRED,5928000.0,,32.4,65.37
SYNID0100035506,individual,MB,WINNIPEG,,12010,6756000.0,,9.9,32.81
SYNID0100035641,individual,other,other,,OTHER,7566600.0,,33.93,61.34
SYNID0100035690,individual,BC,SURREY,,RETIRED,1631700.0,,38.22,93.91
SYNID0100035703,individual,NB,MONCTON,,12010,1100.0,,6.61,29.31
SYNID0100036197,individual,other,other,,OTHER,5402500.0,,30.45,64.92
SYNID0100036671,individual,AB,EDMONTON,,RETIRED,3503200.0,,25.43,72.37
SYNID0100036688,individual,ON,LINDSAY,,STUDENT,1300.0,,9.63,23.15
SYNID0100036773,individual,other,other,,RETIRED,1000.0,,2.56,65.29
SYNID0100036786,individual,AB,FORT MCMURRAY,,SELF_EMPLOYED,-1.0,,6.66,28.76
SYNID0100036935,individual,ON,AJAX,,44100,2177700.0,,4.89,28.69
SYNID0100037007,individual,ON,TORONTO,,313,8761400.0,,6.75,44.73
SYNID0100037208,individual,ON,RICHMOND HILL,,70010,-1.0,,2.12,24.16
SYNID0100037226,individual,AB,FORT MCMURRAY,,RETIRED,1859900.0,,30.22,85.82
SYNID0100037366,individual,other,other,,21301,1000.0,,22.23,
SYNID0100037477,individual,ON,THUNDER BAY,,63101,-1.0,,6.48,24.7
SYNID0100037509,individual,MB,WINNIPEG,,60010,10992800.0,,,43.24
SYNID0100037607,individual,ON,BRAMPTON,,70010,6830200.0,,,55.82
SYNID0100037666,individual,BC,SURREY,,STUDENT,1100.0,,12.6,17.51
SYNID0100037728,individual,other,other,,RETIRED,-1.0,,31.73,66.58
SYNID0100037869,individual,ON,ETOBICOKE,,UNEMPLOYED,7854300.0,,23.21,48.41
SYNID0100037890,individual,other,other,,OTHER,3933100.0,,17.97,39.05
SYNID0100038038,individual,BC,SURREY,,14100,-1.0,,7.36,29.17
SYNID0100038086,individual,other,other,,10019,3528500.0,,13.74,62.03
SYNID0100038539,individual,ON,TORONTO,,STUDENT,1600.0,,5.33,24.27
SYNID0100038708,individual,ON,BRAMPTON,,STUDENT,-1.0,,1.37,
SYNID0100038801,individual,ON,TORONTO,,13111,2677000.0,,7.52,47.3
SYNID0100038880,individual,ON,CAMBRIDGE,,41101,5449700.0,,11.09,28.44
SYNID0100038978,individual,ON,TORONTO,,STUDENT,-1.0,,1.87,19.99
SYNID0100039084,individual,ON,SCARBOROUGH,,SELF_EMPLOYED,3331400.0,,5.27,47.9
SYNID0100039312,individual,other,other,,STUDENT,-1.0,,1.57,19.78
SYNID0100039424,individual,other,other,,OTHER,8126000.0,,32.18,57.83
SYNID0100039780,individual,BC,PRINCE GEORGE,,12010,7701500.0,,9.14,28.81
SYNID0100040148,individual,ON,OTTAWA,,RETIRED,-1.0,,12.0,65.81
SYNID0100040316,individual,ON,BRAMPTON,,OTHER,8000900.0,,14.01,44.56
SYNID0100040454,individual,BC,NANAIMO,,STUDENT,2271600.0,,1.52,20.91
SYNID0100040792,individual,AB,CALGARY,,OTHER,11457900.0,,7.7,
SYNID0100040885,individual,other,other,,RETIRED,1300.0,,,65.81
SYNID0100040970,individual,ON,NIAGARA FALLS,,STUDENT,900.0,,5.09,20.76
SYNID0100041064,individual,other,other,,RETIRED,1741100.0,,33.59,82.53
SYNID0100041327,individual,AB,EDMONTON,,STUDENT,5888900.0,,7.88,36.02
SYNID0100041519,individual,ON,TORONTO,,STUDENT,-1.0,,4.81,22.07
SYNID0100041539,individual,other,other,,SELF_EMPLOYED,1111800.0,,28.25,65.47
SYNID0100041876,individual,ON,TORONTO,,SELF_EMPLOYED,-1.0,,2.57,58.59
SYNID0100042124,individual,ON,ANCASTER,,RETIRED,1311000.0,,25.85,76.02
SYNID0100042256,individual,AB,CALGARY,,12010,5354100.0,,10.95,52.97
SYNID0100042517,individual,ON,BELLEVILLE,,RETIRED,1855700.0,,3.87,67.32
SYNID0100042626,individual,ON,AURORA,,0,-1.0,,7.61,40.28
SYNID0100042902,individual,ON,OSHAWA,,RETIRED,623000.0,,36.92,85.76
SYNID0100042905,individual,ON,PETERBOROUGH,,OTHER,4261200.0,,9.51,32.64
SYNID0100043003,individual,ON,TORONTO,,UNEMPLOYED,2595500.0,,30.41,
SYNID0100043540,individual,AB,CALGARY,,95109,10143000.0,,14.93,34.45
SYNID0100043914,individual,NB,MONCTON,,0,4089700.0,,32.15,55.66
SYNID0100044500,individual,ON,MARKHAM,,SELF_EMPLOYED,4833500.0,,22.43,67.03
SYNID0100044704,individual,other,other,,OTHER,7081900.0,,,43.23
SYNID0100045225,individual,other,other,,10019,5650600.0,,1.9,31.49
SYNID0100045411,individual,other,other,,UNEMPLOYED,-1.0,,16.18,59.39
SYNID0100045578,individual,AB,EDMONTON,,72106,1300.0,,15.46,21.27
SYNID0100045811,individual,ON,WOODBRIDGE,,11101,2829300.0,,14.87,34.05
SYNID0100046345,individual,ON,BOLTON,,UNEMPLOYED,1832900.0,,10.64,27.84
SYNID0100046511,individual,other,other,,OTHER,5846800.0,,15.41,46.53
SYNID0100046583,individual,BC,RICHMOND,,RETIRED,846500.0,,12.86,69.31
SYNID0100046681,individual,ON,SARNIA,,60030,2314600.0,,,33.42
SYNID0100046751,individual,other,other,,SELF_EMPLOYED,2459800.0,,22.58,39.31
SYNID0100046933,individual,ON,BELLEVILLE,,STUDENT,-1.0,,1.55,23.66
SYNID0100047082,individual,ON,MISSISSAUGA,,7201,-1.0,,1.61,51.28
SYNID0100047241,individual,ON,PETERBOROUGH,,OTHER,6581200.0,,25.89,43.03
SYNID0100047421,individual,other,other,,41200,-1.0,,1.82,25.49
SYNID0100047746,individual,ON,ARNPRIOR,,STUDENT,900.0,,8.01,18.25
SYNID0100047852,individual,other,other,,OTHER,-1.0,,13.77,
SYNID0100047938,individual,other,other,,RETIRED,-1.0,,22.2,67.65
SYNID0100048054,individual,other,other,,OTHER,5216100.0,,12.24,28.92
SYNID0100048110,individual,other,other,,63100,15661900.0,,20.81,60.33
SYNID0100048201,individual,ON,TORONTO,,UNEMPLOYED,1400.0,,24.36,93.28
SYNID0100048220,individual,other,other,,STUDENT,-1.0,,1.74,
SYNID0100048513,individual,NB,SAINT JOHN,,RETIRED,1527500.0,,21.14,87.73
SYNID0100048554,individual,ON,STITTSVILLE,,73300,18844300.0,,29.46,61.75
SYNID0100048602,individual,other,other,,RETIRED,3586900.0,,32.78,65.59
SYNID0100048631,individual,ON,STRATFORD,,SELF_EMPLOYED,6435000.0,,3.87,
SYNID0100048646,individual,ON,TORONTO,,OTHER,3640000.0,,5.0,38.06
SYNID0100049026,individual,ON,KITCHENER,,95109,10286200.0,,28.94,58.55
SYNID0100049262,individual,AB,CALGARY,,OTHER,5644100.0,,3.67,34.57
SYNID0100049538,individual,other,other,,OTHER,11263000.0,,16.42,36.52
SYNID0100049761,individual,other,other,,UNEMPLOYED,10102200.0,,17.08,64.07
SYNID0100049825,individual,NS,HALIFAX,,STUDENT,-1.0,,1.96,24.02
SYNID0100050100,individual,ON,TORONTO,,12010,-1.0,,3.14,32.01
SYNID0100050622,individual,other,other,,60010,3835100.0,,7.16,49.73
SYNID0100050795,individual,other,other,,RETIRED,1320900.0,,28.65,79.19
SYNID0100050922,individual,other,other,,UNEMPLOYED,160200.0,,32.82,78.57
SYNID0100051035,individual,other,other,,10011,3037400.0,,6.32,52.64
SYNID0100051037,individual,other,other,,OTHER,4144100.0,,6.55,47.41
SYNID0100051071,individual,ON,NEWMARKET,,UNEMPLOYED,281700.0,,21.78,
SYNID0100051199,individual,other,other,,60010,4345500.0,,18.55,27.87
SYNID0100051414,individual,ON,BRANTFORD,,STUDENT,900.0,,6.91,23.24
SYNID0100051424,individual,ON,BRAMPTON,,STUDENT,-1.0,,3.05,21.54
SYNID0100051465,individual,AB,CALGARY,,14100,13012200.0,,17.71,49.33
SYNID0100052024,individual,other,other,,73300,2733700.0,,6.88,30.37
SYNID0100052418,individual,other,other,,RETIRED,1917700.0,,28.22,70.96
SYNID0100052442,individual,other,other,,RETIRED,1813700.0,,13.84,79.13
SYNID0100052942,individual,AB,EDMONTON,,RETIRED,2123800.0,,33.33,82.63
SYNID0100053138,individual,ON,TORONTO,,OTHER,-1.0,,5.66,36.28
SYNID0100053671,individual,ON,NORTH YORK,,STUDENT,-1.0,,,
SYNID0100053896,individual,ON,THORNHILL,,UNEMPLOYED,1500.0,,22.48,78.4
SYNID0100054434,individual,QC,GATINEAU,,STUDENT,1272800.0,,4.5,25.98
SYNID0100054859,individual,ON,BRAMPTON,,UNEMPLOYED,-1.0,,27.85,69.57
SYNID0100054894,individual,other,other,,OTHER,2979200.0,,24.95,55.98
SYNID0100055597,individual,other,other,,RETIRED,5689500.0,,28.57,75.64
SYNID0100055665,individual,other,other,,STUDENT,1100.0,,4.76,20.26
SYNID0100055741,individual,ON,WOODSTOCK,,OTHER,-1.0,,38.13,59.45
SYNID0100056156,individual,ON,KANATA,,OTHER,4143800.0,,28.52,53.81
SYNID0100056283,individual,other,other,,OTHER,3418100.0,,28.09,28.61
SYNID0100056875,individual,ON,TORONTO,,11100,17371300.0,,7.0,43.21
SYNID0100057662,individual,other,other,,63200,1017200.0,,9.76,29.34
SYNID0100058090,individual,ON,BRAMPTON,,UNEMPLOYED,1663300.0,,29.56,49.49
SYNID0100058456,individual,BC,VANCOUVER,,10019,10438500.0,,,38.47
SYNID0100058587,individual,ON,HAMILTON,,SELF_EMPLOYED,1215300.0,,25.17,66.55
SYNID0100059315,individual,ON,WINDSOR,,UNEMPLOYED,1883300.0,,12.67,41.17
SYNID0100059367,individual,other,other,,UNEMPLOYED,-1.0,,10.61,42.34
SYNID0100059490,individual,other,other,,STUDENT,800.0,,13.16,13.17
SYNID0100059769,individual,other,other,,11100,7705100.0,,,46.15
SYNID0100060456,individual,ON,RICHMOND HILL,,OTHER,4415400.0,,10.48,39.28
SYNID0100060458,individual,BC,VICTORIA,,12010,8425400.0,,13.82,33.11
SYNID0100060562,individual,other,other,,RETIRED,8540800.0,,39.24,66.72
SYNID0100060727,individual,other,other,,73300,5358700.0,,,40.94
SYNID0100060883,individual,other,other,,73300,-1.0,,3.67,53.42
SYNID0100060969,individual,ON,KITCHENER,,RETIRED,2650600.0,,34.89,73.1
SYNID0100061097,individual,other,other,,UNEMPLOYED,1028500.0,,33.25,52.71
SYNID0100062156,individual,other,other,,11102,900.0,,23.84,26.25
SYNID0100062402,individual,NS,HALIFAX,,SELF_EMPLOYED,4200800.0,,13.07,25.79
SYNID0100062584,individual,ON,MARKHAM,,OTHER,2383300.0,,5.9,28.39
SYNID0100063099,individual,NB,SAINT JOHN,,OTHER,16696300.0,,24.52,46.1
SYNID0100063274,individual,AB,EDMONTON,,OTHER,3263100.0,,34.77,51.4
SYNID0100063316,individual,MB,WINNIPEG,,RETIRED,1500.0,,19.72,79.15
SYNID0100063360,individual,other,other,,RETIRED,3229600.0,,25.44,77.32
SYNID0100063472,individual,ON,TORONTO,,SELF_EMPLOYED,5115800.0,,7.89,37.47
SYNID0100063874,individual,other,other,,SELF_EMPLOYED,2584500.0,,33.11,66.27
SYNID0100063994,individual,other,other,,UNEMPLOYED,-1.0,,10.58,46.29
SYNID0100064304,individual,ON,NORTH YORK,,14200,-1.0,,2.01,23.02
SYNID0100064470,individual,AB,EDMONTON,,12010,1000.0,,8.78,30.44
SYNID0100064485,individual,other,other,,STUDENT,1500.0,,6.84,15.81
SYNID0100064835,individual,ON,TORONTO,,OTHER,-1.0,,,88.67
SYNID0100064958,individual,NS,HALIFAX,,SELF_EMPLOYED,-1.0,,28.77,78.17
SYNID0100065426,individual,MB,WINNIPEG,,14100,4920800.0,,29.17,38.7
SYNID0100065920,individual,other,other,,12010,7181800.0,,7.35,42.08
SYNID0100066045,individual,BC,LANGLEY,,10019,6099200.0,,12.37,65.2
SYNID0100067005,individual,ON,BRADFORD,,UNEMPLOYED,800.0,,2.48,16.12
SYNID0100067029,individual,AB,EDMONTON,,RETIRED,7188200.0,,26.53,79.07
SYNID0100067162,individual,other,other,,UNEMPLOYED,1000.0,,26.87,35.33
SYNID0100067177,individual,ON,BRAMPTON,,OTHER,6398100.0,,6.0,27.39
SYNID0100067217,individual,ON,ST CATHARINES,,OTHER,7865400.0,,5.59,27.91
SYNID0100067250,individual,NB,FREDERICTON,,OTHER,2465400.0,,18.1,57.16
SYNID0100067364,individual,MB,WINNIPEG,,SELF_EMPLOYED,-1.0,,1.25,
SYNID0100067531,individual,ON,BURLINGTON,,90010,4539000.0,,6.28,44.84
SYNID0100067628,individual,ON,STONEY CREEK,,RETIRED,986000.0,,35.53,89.86
SYNID0100067668,individual,other,other,,UNEMPLOYED,1000.0,,15.03,42.37
SYNID0100067868,individual,BC,VANCOUVER,,STUDENT,-1.0,,1.69,33.01
SYNID0100067899,individual,ON,MISSISSAUGA,,OTHER,-1.0,,16.31,22.08
SYNID0100067923,individual,ON,BRANTFORD,,SELF_EMPLOYED,-1.0,,30.73,63.43
SYNID0100068308,individual,ON,BRAMPTON,,73300,5344200.0,,29.49,56.8
SYNID0100068500,individual,AB,EDMONTON,,OTHER,4234600.0,,33.36,64.19
SYNID0100068537,individual,AB,LETHBRIDGE,,41200,5172100.0,,7.61,
SYNID0100068610,individual,AB,EDMONTON,,OTHER,1400.0,,6.59,26.25
SYNID0100068662,individual,ON,MARKHAM,,10019,-1.0,,3.61,33.8
SYNID0100068749,individual,BC,SURREY,,10019,6546200.0,,2.77,30.01
SYNID0100068783,individual,MB,WINNIPEG,,OTHER,23356600.0,,21.05,45.92
SYNID0100068792,individual,BC,KELOWNA,,OTHER,1500.0,,28.5,43.3
SYNID0100068815,individual,ON,NIAGARA FALLS,,STUDENT,1500.0,,2.78,20.95
SYNID0100068827,individual,other,other,,RETIRED,4416100.0,,26.97,63.43
SYNID0100069423,individual,SK,PRINCE ALBERT,,OTHER,3915800.0,,14.95,58.06
SYNID0100069524,individual,ON,TORONTO,,11100,-1.0,,8.95,51.98
SYNID0100069632,individual,ON,WOODBRIDGE,,SELF_EMPLOYED,-1.0,,12.78,57.72
SYNID0100069844,individual,ON,OTTAWA,,OTHER,2229000.0,,23.81,
SYNID0100069957,individual,ON,KINGSTON,,SELF_EMPLOYED,2176300.0,,5.46,34.74
SYNID0100069965,individual,ON,KITCHENER,,73300,5408800.0,,33.18,46.91
SYNID0100070134,individual,ON,PETERBOROUGH,,OTHER,8758200.0,,20.0,43.43
SYNID0100070399,individual,AB,MEDICINE HAT,,10019,6312400.0,,27.85,54.3
SYNID0100070470,individual,ON,TORONTO,,RETIRED,2442000.0,,33.56,
SYNID0100070564,individual,ON,ETOBICOKE,,RETIRED,-1.0,,28.27,63.3
