"customer_id","cluster_num","cluster_raw","kyc_type","dominant_kyc_type","cross_behavior_flag"
"SYNID0100006800",3,"global_3","individual","individual",FALSE
"SYNID0100006895",4,"global_4","individual","individual",FALSE
"SYNID0100006941",3,"global_3","individual","individual",FALSE
"SYNID0100007436",4,"global_4","individual","individual",FALSE
"SYNID0100007570",3,"global_3","individual","individual",FALSE
"SYNID0100007620",4,"global_4","individual","individual",FALSE
"SYNID0100007638",4,"global_4","individual","individual",FALSE
"SYNID0100008358",4,"global_4","individual","individual",FALSE
"SYNID0100008611",3,"global_3","individual","individual",FALSE
"SYNID0100008961",1,"global_1","individual","individual",FALSE
"SYNID0100009174",3,"global_3","individual","individual",FALSE
"SYNID0100009213",4,"global_4","individual","individual",FALSE
"SYNID0100009417",4,"global_4","individual","individual",FALSE
"SYNID0100009470",4,"global_4","individual","individual",FALSE
"SYNID0100009541",3,"global_3","individual","individual",FALSE
"SYNID0100009578",3,"global_3","individual","individual",FALSE
"SYNID0100009762",4,"global_4","individual","individual",FALSE
"SYNID0100009956",3,"global_3","individual","individual",FALSE
"SYNID0100010089",4,"global_4","individual","individual",FALSE
"SYNID0100010329",4,"global_4","individual","individual",FALSE
"SYNID0100010571",3,"global_3","individual","individual",FALSE
"SYNID0100010698",3,"global_3","individual","individual",FALSE
"SYNID0100011209",3,"global_3","individual","individual",FALSE
"SYNID0100011315",3,"global_3","individual","individual",FALSE
"SYNID0100011481",1,"global_1","individual","individual",FALSE
"SYNID0100011849",4,"global_4","individual","individual",FALSE
"SYNID0100012045",1,"global_1","individual","individual",FALSE
"SYNID0100012111",3,"global_3","individual","individual",FALSE
"SYNID0100012205",3,"global_3","individual","individual",FALSE
"SYNID0100012410",4,"global_4","individual","individual",FALSE
"SYNID0100012464",4,"global_4","individual","individual",FALSE
"SYNID0100012512",3,"global_3","individual","individual",FALSE
"SYNID0100012539",4,"global_4","individual","individual",FALSE
"SYNID0100013163",1,"global_1","individual","individual",FALSE
"SYNID0100013722",3,"global_3","individual","individual",FALSE
"SYNID0100013886",3,"global_3","individual","individual",FALSE
"SYNID0100014085",3,"global_3","individual","individual",FALSE
"SYNID0100014233",3,"global_3","individual","individual",FALSE
"SYNID0100014489",4,"global_4","individual","individual",FALSE
"SYNID0100014795",4,"global_4","individual","individual",FALSE
"SYNID0100014851",3,"global_3","individual","individual",FALSE
"SYNID0100015045",3,"global_3","individual","individual",FALSE
"SYNID0100015109",3,"global_3","individual","individual",FALSE
"SYNID0100015225",4,"global_4","individual","individual",FALSE
"SYNID0100015975",4,"global_4","individual","individual",FALSE
"SYNID0100016064",4,"global_4","individual","individual",FALSE
"SYNID0100016314",4,"global_4","individual","individual",FALSE
"SYNID0100016895",3,"global_3","individual","individual",FALSE
"SYNID0100017219",4,"global_4","individual","individual",FALSE
"SYNID0100017804",1,"global_1","individual","individual",FALSE
"SYNID0100018428",3,"global_3","individual","individual",FALSE
"SYNID0100018441",4,"global_4","individual","individual",FALSE
"SYNID0100018558",4,"global_4","individual","individual",FALSE
"SYNID0100018651",3,"global_3","individual","individual",FALSE
"SYNID0100018816",4,"global_4","individual","individual",FALSE
"SYNID0100018982",4,"global_4","individual","individual",FALSE
"SYNID0100019186",4,"global_4","individual","individual",FALSE
"SYNID0100019260",3,"global_3","individual","individual",FALSE
"SYNID0100019419",3,"global_3","individual","individual",FALSE
"SYNID0100019645",4,"global_4","individual","individual",FALSE
"SYNID0100019726",3,"global_3","individual","individual",FALSE
"SYNID0100019883",3,"global_3","individual","individual",FALSE
"SYNID0100020142",4,"global_4","individual","individual",FALSE
"SYNID0100020166",4,"global_4","individual","individual",FALSE
"SYNID0100020197",3,"global_3","individual","individual",FALSE
"SYNID0100020265",4,"global_4","individual","individual",FALSE
"SYNID0100020731",3,"global_3","individual","individual",FALSE
"SYNID0100020773",1,"global_1","individual","individual",FALSE
"SYNID0100021218",4,"global_4","individual","individual",FALSE
"SYNID0100021236",4,"global_4","individual","individual",FALSE
"SYNID0100021299",4,"global_4","individual","individual",FALSE
"SYNID0100021463",1,"global_1","individual","individual",FALSE
"SYNID0100022238",1,"global_1","individual","individual",FALSE
"SYNID0100022248",1,"global_1","individual","individual",FALSE
"SYNID0100022308",4,"global_4","individual","individual",FALSE
"SYNID0100022897",3,"global_3","individual","individual",FALSE
"SYNID0100023259",4,"global_4","individual","individual",FALSE
"SYNID0100023475",4,"global_4","individual","individual",FALSE
"SYNID0100023734",4,"global_4","individual","individual",FALSE
"SYNID0100023889",3,"global_3","individual","individual",FALSE
"SYNID0100024328",4,"global_4","individual","individual",FALSE
"SYNID0100024437",4,"global_4","individual","individual",FALSE
"SYNID0100024598",1,"global_1","individual","individual",FALSE
"SYNID0100024772",3,"global_3","individual","individual",FALSE
"SYNID0100024936",4,"global_4","individual","individual",FALSE
"SYNID0100025173",1,"global_1","individual","individual",FALSE
"SYNID0100025567",4,"global_4","individual","individual",FALSE
"SYNID0100025619",4,"global_4","individual","individual",FALSE
"SYNID0100025622",3,"global_3","individual","individual",FALSE
"SYNID0100025820",3,"global_3","individual","individual",FALSE
"SYNID0100026243",4,"global_4","individual","individual",FALSE
"SYNID0100026488",4,"global_4","individual","individual",FALSE
"SYNID0100026603",3,"global_3","individual","individual",FALSE
"SYNID0100026730",4,"global_4","individual","individual",FALSE
"SYNID0100027385",3,"global_3","individual","individual",FALSE
"SYNID0100028117",1,"global_1","individual","individual",FALSE
"SYNID0100028203",4,"global_4","individual","individual",FALSE
"SYNID0100028625",3,"global_3","individual","individual",FALSE
"SYNID0100028682",3,"global_3","individual","individual",FALSE
"SYNID0100028742",4,"global_4","individual","individual",FALSE
"SYNID0100028784",3,"global_3","individual","individual",FALSE
"SYNID0100028955",4,"global_4","individual","individual",FALSE
"SYNID0100029550",4,"global_4","individual","individual",FALSE
"SYNID0100029659",4,"global_4","individual","individual",FALSE
"SYNID0100029977",1,"global_1","individual","individual",FALSE
"SYNID0100030114",4,"global_4","individual","individual",FALSE
"SYNID0100030522",4,"global_4","individual","individual",FALSE
"SYNID0100030710",4,"global_4","individual","individual",FALSE
"SYNID0100030983",4,"global_4","individual","individual",FALSE
"SYNID0100030996",3,"global_3","individual","individual",FALSE
"SYNID0100031148",4,"global_4","individual","individual",FALSE
"SYNID0100031276",1,"global_1","individual","individual",FALSE
"SYNID0100031448",1,"global_1","individual","individual",FALSE
"SYNID0100031720",3,"global_3","individual","individual",FALSE
"SYNID0100031724",3,"global_3","individual","individual",FALSE
"SYNID0100031730",4,"global_4","individual","individual",FALSE
"SYNID0100031829",4,"global_4","individual","individual",FALSE
"SYNID0100032192",1,"global_1","individual","individual",FALSE
"SYNID0100032279",1,"global_1","individual","individual",FALSE
"SYNID0100032627",4,"global_4","individual","individual",FALSE
"SYNID0100033027",3,"global_3","individual","individual",FALSE
"SYNID0100033322",3,"global_3","individual","individual",FALSE
"SYNID0100033763",4,"global_4","individual","individual",FALSE
"SYNID0100033846",4,"global_4","individual","individual",FALSE
"SYNID0100033968",3,"global_3","individual","individual",FALSE
"SYNID0100035506",4,"global_4","individual","individual",FALSE
"SYNID0100035641",3,"global_3","individual","individual",FALSE
"SYNID0100035690",4,"global_4","individual","individual",FALSE
"SYNID0100035703",4,"global_4","individual","individual",FALSE
"SYNID0100036197",4,"global_4","individual","individual",FALSE
"SYNID0100036671",1,"global_1","individual","individual",FALSE
"SYNID0100036688",3,"global_3","individual","individual",FALSE
"SYNID0100036773",4,"global_4","individual","individual",FALSE
"SYNID0100036786",4,"global_4","individual","individual",FALSE
"SYNID0100036935",4,"global_4","individual","individual",FALSE
"SYNID0100037007",3,"global_3","individual","individual",FALSE
"SYNID0100037208",3,"global_3","individual","individual",FALSE
"SYNID0100037226",4,"global_4","individual","individual",FALSE
"SYNID0100037366",4,"global_4","individual","individual",FALSE
"SYNID0100037477",4,"global_4","individual","individual",FALSE
"SYNID0100037509",4,"global_4","individual","individual",FALSE
"SYNID0100037607",4,"global_4","individual","individual",FALSE
"SYNID0100037666",4,"global_4","individual","individual",FALSE
"SYNID0100037728",4,"global_4","individual","individual",FALSE
"SYNID0100037869",3,"global_3","individual","individual",FALSE
"SYNID0100037890",4,"global_4","individual","individual",FALSE
"SYNID0100038038",3,"global_3","individual","individual",FALSE
"SYNID0100038086",3,"global_3","individual","individual",FALSE
"SYNID0100038539",4,"global_4","individual","individual",FALSE
"SYNID0100038708",4,"global_4","individual","individual",FALSE
"SYNID0100038801",4,"global_4","individual","individual",FALSE
"SYNID0100038880",3,"global_3","individual","individual",FALSE
"SYNID0100038978",3,"global_3","individual","individual",FALSE
"SYNID0100039084",4,"global_4","individual","individual",FALSE
"SYNID0100039312",4,"global_4","individual","individual",FALSE
"SYNID0100039424",4,"global_4","individual","individual",FALSE
"SYNID0100039780",4,"global_4","individual","individual",FALSE
"SYNID0100040148",3,"global_3","individual","individual",FALSE
"SYNID0100040316",4,"global_4","individual","individual",FALSE
"SYNID0100040454",4,"global_4","individual","individual",FALSE
"SYNID0100040792",1,"global_1","individual","individual",FALSE
"SYNID0100040885",3,"global_3","individual","individual",FALSE
"SYNID0100040970",3,"global_3","individual","individual",FALSE
"SYNID0100041064",4,"global_4","individual","individual",FALSE
"SYNID0100041327",1,"global_1","individual","individual",FALSE
"SYNID0100041519",4,"global_4","individual","individual",FALSE
"SYNID0100041539",4,"global_4","individual","individual",FALSE
"SYNID0100041876",4,"global_4","individual","individual",FALSE
"SYNID0100042124",4,"global_4","individual","individual",FALSE
"SYNID0100042256",1,"global_1","individual","individual",FALSE
"SYNID0100042517",3,"global_3","individual","individual",FALSE
"SYNID0100042626",3,"global_3","individual","individual",FALSE
"SYNID0100042902",3,"global_3","individual","individual",FALSE
"SYNID0100042905",3,"global_3","individual","individual",FALSE
"SYNID0100043003",4,"global_4","individual","individual",FALSE
"SYNID0100043540",1,"global_1","individual","individual",FALSE
"SYNID0100043914",4,"global_4","individual","individual",FALSE
"SYNID0100044500",4,"global_4","individual","individual",FALSE
"SYNID0100044704",3,"global_3","individual","individual",FALSE
"SYNID0100045225",4,"global_4","individual","individual",FALSE
"SYNID0100045411",4,"global_4","individual","individual",FALSE
"SYNID0100045578",1,"global_1","individual","individual",FALSE
"SYNID0100045811",3,"global_3","individual","individual",FALSE
"SYNID0100046345",4,"global_4","individual","individual",FALSE
"SYNID0100046511",4,"global_4","individual","individual",FALSE
"SYNID0100046583",4,"global_4","individual","individual",FALSE
"SYNID0100046681",4,"global_4","individual","individual",FALSE
"SYNID0100046751",3,"global_3","individual","individual",FALSE
"SYNID0100046933",4,"global_4","individual","individual",FALSE
"SYNID0100047082",4,"global_4","individual","individual",FALSE
"SYNID0100047241",4,"global_4","individual","individual",FALSE
"SYNID0100047421",4,"global_4","individual","individual",FALSE
"SYNID0100047746",4,"global_4","individual","individual",FALSE
"SYNID0100047852",3,"global_3","individual","individual",FALSE
"SYNID0100047938",4,"global_4","individual","individual",FALSE
"SYNID0100048054",4,"global_4","individual","individual",FALSE
"SYNID0100048110",4,"global_4","individual","individual",FALSE
"SYNID0100048201",4,"global_4","individual","individual",FALSE
"SYNID0100048220",4,"global_4","individual","individual",FALSE
"SYNID0100048513",4,"global_4","individual","individual",FALSE
"SYNID0100048554",4,"global_4","individual","individual",FALSE
"SYNID0100048602",4,"global_4","individual","individual",FALSE
"SYNID0100048631",4,"global_4","individual","individual",FALSE
"SYNID0100048646",3,"global_3","individual","individual",FALSE
"SYNID0100049026",4,"global_4","individual","individual",FALSE
"SYNID0100049262",1,"global_1","individual","individual",FALSE
"SYNID0100049538",3,"global_3","individual","individual",FALSE
"SYNID0100049761",3,"global_3","individual","individual",FALSE
"SYNID0100049825",4,"global_4","individual","individual",FALSE
"SYNID0100050100",4,"global_4","individual","individual",FALSE
"SYNID0100050622",3,"global_3","individual","individual",FALSE
"SYNID0100050795",4,"global_4","individual","individual",FALSE
"SYNID0100050922",4,"global_4","individual","individual",FALSE
"SYNID0100051035",4,"global_4","individual","individual",FALSE
"SYNID0100051037",3,"global_3","individual","individual",FALSE
"SYNID0100051071",3,"global_3","individual","individual",FALSE
"SYNID0100051199",3,"global_3","individual","individual",FALSE
"SYNID0100051414",3,"global_3","individual","individual",FALSE
"SYNID0100051424",3,"global_3","individual","individual",FALSE
"SYNID0100051465",1,"global_1","individual","individual",FALSE
"SYNID0100052024",4,"global_4","individual","individual",FALSE
"SYNID0100052418",4,"global_4","individual","individual",FALSE
"SYNID0100052442",4,"global_4","individual","individual",FALSE
"SYNID0100052942",1,"global_1","individual","individual",FALSE
"SYNID0100053138",4,"global_4","individual","individual",FALSE
"SYNID0100053671",4,"global_4","individual","individual",FALSE
"SYNID0100053896",3,"global_3","individual","individual",FALSE
"SYNID0100054434",1,"global_1","individual","individual",FALSE
"SYNID0100054859",4,"global_4","individual","individual",FALSE
"SYNID0100054894",3,"global_3","individual","individual",FALSE
"SYNID0100055597",4,"global_4","individual","individual",FALSE
"SYNID0100055665",3,"global_3","individual","individual",FALSE
"SYNID0100055741",4,"global_4","individual","individual",FALSE
"SYNID0100056156",3,"global_3","individual","individual",FALSE
"SYNID0100056283",3,"global_3","individual","individual",FALSE
"SYNID0100056875",3,"global_3","individual","individual",FALSE
"SYNID0100057662",4,"global_4","individual","individual",FALSE
"SYNID0100058090",4,"global_4","individual","individual",FALSE
"SYNID0100058456",3,"global_3","individual","individual",FALSE
"SYNID0100058587",4,"global_4","individual","individual",FALSE
"SYNID0100059315",4,"global_4","individual","individual",FALSE
"SYNID0100059367",3,"global_3","individual","individual",FALSE
"SYNID0100059490",4,"global_4","individual","individual",FALSE
"SYNID0100059769",4,"global_4","individual","individual",FALSE
"SYNID0100060456",4,"global_4","individual","individual",FALSE
"SYNID0100060458",3,"global_3","individual","individual",FALSE
"SYNID0100060562",4,"global_4","individual","individual",FALSE
"SYNID0100060727",4,"global_4","individual","individual",FALSE
"SYNID0100060883",3,"global_3","individual","individual",FALSE
"SYNID0100060969",3,"global_3","individual","individual",FALSE
"SYNID0100061097",3,"global_3","individual","individual",FALSE
"SYNID0100062156",4,"global_4","individual","individual",FALSE
"SYNID0100062402",4,"global_4","individual","individual",FALSE
"SYNID0100062584",3,"global_3","individual","individual",FALSE
"SYNID0100063099",4,"global_4","individual","individual",FALSE
"SYNID0100063274",1,"global_1","individual","individual",FALSE
"SYNID0100063316",4,"global_4","individual","individual",FALSE
"SYNID0100063360",3,"global_3","individual","individual",FALSE
"SYNID0100063472",4,"global_4","individual","individual",FALSE
"SYNID0100063874",3,"global_3","individual","individual",FALSE
"SYNID0100063994",4,"global_4","individual","individual",FALSE
"SYNID0100064304",3,"global_3","individual","individual",FALSE
"SYNID0100064470",1,"global_1","individual","individual",FALSE
"SYNID0100064485",3,"global_3","individual","individual",FALSE
"SYNID0100064835",3,"global_3","individual","individual",FALSE
"SYNID0100064958",3,"global_3","individual","individual",FALSE
"SYNID0100065426",4,"global_4","individual","individual",FALSE
"SYNID0100065920",4,"global_4","individual","individual",FALSE
"SYNID0100066045",3,"global_3","individual","individual",FALSE
"SYNID0100067005",4,"global_4","individual","individual",FALSE
"SYNID0100067029",1,"global_1","individual","individual",FALSE
"SYNID0100067162",4,"global_4","individual","individual",FALSE
"SYNID0100067177",4,"global_4","individual","individual",FALSE
"SYNID0100067217",3,"global_3","individual","individual",FALSE
"SYNID0100067250",4,"global_4","individual","individual",FALSE
"SYNID0100067364",4,"global_4","individual","individual",FALSE
"SYNID0100067531",4,"global_4","individual","individual",FALSE
"SYNID0100067628",4,"global_4","individual","individual",FALSE
"SYNID0100067668",4,"global_4","individual","individual",FALSE
"SYNID0100067868",4,"global_4","individual","individual",FALSE
"SYNID0100067899",3,"global_3","individual","individual",FALSE
"SYNID0100067923",3,"global_3","individual","individual",FALSE
"SYNID0100068308",3,"global_3","individual","individual",FALSE
"SYNID0100068500",1,"global_1","individual","individual",FALSE
"SYNID0100068537",1,"global_1","individual","individual",FALSE
"SYNID0100068610",1,"global_1","individual","individual",FALSE
"SYNID0100068662",3,"global_3","individual","individual",FALSE
"SYNID0100068749",4,"global_4","individual","individual",FALSE
"SYNID0100068783",3,"global_3","individual","individual",FALSE
"SYNID0100068792",4,"global_4","individual","individual",FALSE
"SYNID0100068815",3,"global_3","individual","individual",FALSE
"SYNID0100068827",4,"global_4","individual","individual",FALSE
"SYNID0100069423",3,"global_3","individual","individual",FALSE
"SYNID0100069524",3,"global_3","individual","individual",FALSE
"SYNID0100069632",4,"global_4","individual","individual",FALSE
"SYNID0100069844",4,"global_4","individual","individual",FALSE
"SYNID0100069957",4,"global_4","individual","individual",FALSE
"SYNID0100069965",3,"global_3","individual","individual",FALSE
"SYNID0100070134",3,"global_3","individual","individual",FALSE
"SYNID0100070399",4,"global_4","individual","individual",FALSE
"SYNID0100070470",4,"global_4","individual","individual",FALSE
"SYNID0100070564",3,"global_3","individual","individual",FALSE
"SYNID0100070637",4,"global_4","individual","individual",FALSE
"SYNID0100070688",3,"global_3","individual","individual",FALSE
"SYNID0100071116",4,"global_4","individual","individual",FALSE
"SYNID0100071235",3,"global_3","individual","individual",FALSE
"SYNID0100071380",3,"global_3","individual","individual",FALSE
"SYNID0100071621",3,"global_3","individual","individual",FALSE
"SYNID0100071649",3,"global_3","individual","individual",FALSE
"SYNID0100072177",4,"global_4","individual","individual",FALSE
"SYNID0100072346",1,"global_1","individual","individual",FALSE
"SYNID0100072688",4,"global_4","individual","individual",FALSE
"SYNID0100073103",4,"global_4","individual","individual",FALSE
"SYNID0100073359",3,"global_3","individual","individual",FALSE
"SYNID0100073582",4,"global_4","individual","individual",FALSE
"SYNID0100073852",4,"global_4","individual","individual",FALSE
"SYNID0100074035",1,"global_1","individual","individual",FALSE
"SYNID0100074225",1,"global_1","individual","individual",FALSE
"SYNID0100074354",4,"global_4","individual","individual",FALSE
"SYNID0100074987",1,"global_1","individual","individual",FALSE
"SYNID0100075150",4,"global_4","individual","individual",FALSE
"SYNID0100075153",3,"global_3","individual","individual",FALSE
"SYNID0100075323",3,"global_3","individual","individual",FALSE
"SYNID0100075482",3,"global_3","individual","individual",FALSE
"SYNID0100075839",4,"global_4","individual","individual",FALSE
"SYNID0100076028",3,"global_3","individual","individual",FALSE
"SYNID0100076341",4,"global_4","individual","individual",FALSE
"SYNID0100076516",4,"global_4","individual","individual",FALSE
"SYNID0100076652",4,"global_4","individual","individual",FALSE
"SYNID0100076913",1,"global_1","individual","individual",FALSE
"SYNID0100077134",4,"global_4","individual","individual",FALSE
"SYNID0100077243",4,"global_4","individual","individual",FALSE
"SYNID0100077523",3,"global_3","individual","individual",FALSE
"SYNID0100077995",4,"global_4","individual","individual",FALSE
"SYNID0100078139",3,"global_3","individual","individual",FALSE
"SYNID0100078203",4,"global_4","individual","individual",FALSE
"SYNID0100078242",4,"global_4","individual","individual",FALSE
"SYNID0100078265",3,"global_3","individual","individual",FALSE
"SYNID0100078395",3,"global_3","individual","individual",FALSE
"SYNID0100078409",3,"global_3","individual","individual",FALSE
"SYNID0100078509",3,"global_3","individual","individual",FALSE
"SYNID0100078564",4,"global_4","individual","individual",FALSE
"SYNID0100078622",3,"global_3","individual","individual",FALSE
"SYNID0100078650",4,"global_4","individual","individual",FALSE
"SYNID0100079311",3,"global_3","individual","individual",FALSE
"SYNID0100079374",3,"global_3","individual","individual",FALSE
"SYNID0100079439",3,"global_3","individual","individual",FALSE
"SYNID0100079518",4,"global_4","individual","individual",FALSE
"SYNID0100079658",3,"global_3","individual","individual",FALSE
"SYNID0100080063",4,"global_4","individual","individual",FALSE
"SYNID0100080298",4,"global_4","individual","individual",FALSE
"SYNID0100080577",4,"global_4","individual","individual",FALSE
"SYNID0100080937",3,"global_3","individual","individual",FALSE
"SYNID0100081225",4,"global_4","individual","individual",FALSE
"SYNID0100081265",1,"global_1","individual","individual",FALSE
"SYNID0100081360",3,"global_3","individual","individual",FALSE
"SYNID0100082216",4,"global_4","individual","individual",FALSE
"SYNID0100082291",1,"global_1","individual","individual",FALSE
"SYNID0100082343",3,"global_3","individual","individual",FALSE
"SYNID0100082513",1,"global_1","individual","individual",FALSE
"SYNID0100082541",4,"global_4","individual","individual",FALSE
"SYNID0100083124",4,"global_4","individual","individual",FALSE
"SYNID0100083243",4,"global_4","individual","individual",FALSE
"SYNID0100083294",3,"global_3","individual","individual",FALSE
"SYNID0100083585",4,"global_4","individual","individual",FALSE
"SYNID0100083736",4,"global_4","individual","individual",FALSE
"SYNID0100084083",1,"global_1","individual","individual",FALSE
"SYNID0100084135",3,"global_3","individual","individual",FALSE
"SYNID0100084277",3,"global_3","individual","individual",FALSE
"SYNID0100084306",4,"global_4","individual","individual",FALSE
"SYNID0100084308",3,"global_3","individual","individual",FALSE
"SYNID0100084693",4,"global_4","individual","individual",FALSE
"SYNID0100085002",4,"global_4","individual","individual",FALSE
"SYNID0100085106",4,"global_4","individual","individual",FALSE
"SYNID0100085416",4,"global_4","individual","individual",FALSE
"SYNID0100085712",4,"global_4","individual","individual",FALSE
"SYNID0100085836",3,"global_3","individual","individual",FALSE
"SYNID0100086014",3,"global_3","individual","individual",FALSE
"SYNID0100087043",1,"global_1","individual","individual",FALSE
"SYNID0100087342",4,"global_4","individual","individual",FALSE
"SYNID0100087425",3,"global_3","individual","individual",FALSE
"SYNID0100087546",1,"global_1","individual","individual",FALSE
"SYNID0100087564",3,"global_3","individual","individual",FALSE
"SYNID0100087809",4,"global_4","individual","individual",FALSE
"SYNID0100088272",3,"global_3","individual","individual",FALSE
"SYNID0100088455",4,"global_4","individual","individual",FALSE
"SYNID0100088505",4,"global_4","individual","individual",FALSE
"SYNID0100088603",3,"global_3","individual","individual",FALSE
"SYNID0100088611",4,"global_4","individual","individual",FALSE
"SYNID0100088987",3,"global_3","individual","individual",FALSE
"SYNID0100089434",4,"global_4","individual","individual",FALSE
"SYNID0100089552",4,"global_4","individual","individual",FALSE
"SYNID0100089992",3,"global_3","individual","individual",FALSE
"SYNID0100090190",3,"global_3","individual","individual",FALSE
"SYNID0100090388",3,"global_3","individual","individual",FALSE
"SYNID0100090759",4,"global_4","individual","individual",FALSE
"SYNID0100090794",4,"global_4","individual","individual",FALSE
"SYNID0100090868",4,"global_4","individual","individual",FALSE
"SYNID0100091306",4,"global_4","individual","individual",FALSE
"SYNID0100091570",3,"global_3","individual","individual",FALSE
"SYNID0100091865",4,"global_4","individual","individual",FALSE
"SYNID0100091953",4,"global_4","individual","individual",FALSE
"SYNID0100092221",4,"global_4","individual","individual",FALSE
"SYNID0100092236",4,"global_4","individual","individual",FALSE
"SYNID0100092359",3,"global_3","individual","individual",FALSE
"SYNID0100092463",4,"global_4","individual","individual",FALSE
"SYNID0100092493",4,"global_4","individual","individual",FALSE
"SYNID0100092711",3,"global_3","individual","individual",FALSE
"SYNID0100092825",4,"global_4","individual","individual",FALSE
"SYNID0100092948",4,"global_4","individual","individual",FALSE
"SYNID0100093365",3,"global_3","individual","individual",FALSE
"SYNID0100093761",4,"global_4","individual","individual",FALSE
"SYNID0100093807",3,"global_3","individual","individual",FALSE
"SYNID0100093833",4,"global_4","individual","individual",FALSE
"SYNID0100094154",3,"global_3","individual","individual",FALSE
"SYNID0100094869",4,"global_4","individual","individual",FALSE
"SYNID0100094906",3,"global_3","individual","individual",FALSE
"SYNID0100095372",3,"global_3","individual","individual",FALSE
"SYNID0100095455",4,"global_4","individual","individual",FALSE
"SYNID0100095620",3,"global_3","individual","individual",FALSE
"SYNID0100095651",4,"global_4","individual","individual",FALSE
"SYNID0100095747",1,"global_1","individual","individual",FALSE
"SYNID0100095856",4,"global_4","individual","individual",FALSE
"SYNID0100095898",4,"global_4","individual","individual",FALSE
"SYNID0100095907",3,"global_3","individual","individual",FALSE
"SYNID0100095968",3,"global_3","individual","individual",FALSE
"SYNID0100096038",3,"global_3","individual","individual",FALSE
"SYNID0100096061",4,"global_4","individual","individual",FALSE
"SYNID0100096157",4,"global_4","individual","individual",FALSE
"SYNID0100096175",3,"global_3","individual","individual",FALSE
"SYNID0100096360",4,"global_4","individual","individual",FALSE
"SYNID0100096445",4,"global_4","individual","individual",FALSE
"SYNID0100096758",4,"global_4","individual","individual",FALSE
"SYNID0100096912",3,"global_3","individual","individual",FALSE
"SYNID0100097443",3,"global_3","individual","individual",FALSE
"SYNID0100097523",4,"global_4","individual","individual",FALSE
"SYNID0100097584",4,"global_4","individual","individual",FALSE
"SYNID0100097915",3,"global_3","individual","individual",FALSE
"SYNID0100098045",4,"global_4","individual","individual",FALSE
"SYNID0100098417",3,"global_3","individual","individual",FALSE
"SYNID0100098525",4,"global_4","individual","individual",FALSE
"SYNID0100099223",4,"global_4","individual","individual",FALSE
"SYNID0100099312",4,"global_4","individual","individual",FALSE
"SYNID0100099617",1,"global_1","individual","individual",FALSE
"SYNID0100099677",3,"global_3","individual","individual",FALSE
"SYNID0100100208",4,"global_4","individual","individual",FALSE
"SYNID0100100684",3,"global_3","individual","individual",FALSE
"SYNID0100100859",4,"global_4","individual","individual",FALSE
"SYNID0100101009",3,"global_3","individual","individual",FALSE
"SYNID0100101090",3,"global_3","individual","individual",FALSE
"SYNID0100101105",4,"global_4","individual","individual",FALSE
"SYNID0100101157",3,"global_3","individual","individual",FALSE
"SYNID0100101393",3,"global_3","individual","individual",FALSE
"SYNID0100101493",4,"global_4","individual","individual",FALSE
"SYNID0100101898",4,"global_4","individual","individual",FALSE
"SYNID0100102514",4,"global_4","individual","individual",FALSE
"SYNID0100102587",3,"global_3","individual","individual",FALSE
"SYNID0100102835",4,"global_4","individual","individual",FALSE
"SYNID0100102872",4,"global_4","individual","individual",FALSE
"SYNID0100103059",3,"global_3","individual","individual",FALSE
"SYNID0100103070",3,"global_3","individual","individual",FALSE
"SYNID0100103177",4,"global_4","individual","individual",FALSE
